date,Japan,China,United States of America,South Korea,United Kingdom,Germany,France
2016/3/31,656840.03,,,,,,
2016/4/1,836544.27,,,,,,
2016/4/2,748553.33,,,,,,
2016/4/3,815102.35,,,,,,
2016/4/4,593318.57,,,,,,
2016/4/5,538256.41,,,,,,
2016/4/6,436756.03,,,,,,
2016/4/7,419273.27,,,,,,
2016/4/8,425832.97,,,,,,
2016/4/9,432561.82,,,,,,
2016/4/10,827087.89,,,,,,
2016/4/11,1474729.61,,,,,,
2016/4/12,1972095.5,,,,,,
2016/4/13,2105311.21,,,,,,
2016/4/14,2078650,,,,,,
2016/4/15,1401413.22,,,,,,
2016/4/16,1317193.48,,,,,,
2016/4/17,1251939.31,,,,,,
2016/4/18,1106541.56,,,,,,
2016/4/19,1060676.91,,,,,,
2016/4/20,1327068.77,,,,,,
2016/4/21,1408500.27,,,,,,
2016/4/22,1459470.13,,,,,,
2016/4/23,1391330.03,,,,,,
2016/4/24,1174307.73,,,,,,
2016/4/25,1041536.77,,,,,,
2016/4/26,954340.5,,,,,,
2016/4/27,1660745.64,,,,,,
2016/4/28,1758151.43,,,,,,
2016/4/29,1190238.91,,,,,,
2016/4/30,1107611.01,,,,,,
2016/5/1,1228674.25,,,,,,
2016/5/2,837298.91,,,,,,
2016/5/3,732266.56,,,,,,
2016/5/4,853632.44,,,,,,
2016/5/5,699549.75,,,,,,
2016/5/6,561031.25,,,,,,
2016/5/7,552441.6,,,,,,
2016/5/8,571476.19,,,,,,
2016/5/9,374055.83,,,,,,
2016/5/10,471307.79,,,,,,
2016/5/11,762281.28,,,,,,
2016/5/12,630222.99,,,,,,
2016/5/13,532632.43,,,,,,
2016/5/14,473998.02,,,,,,
2016/5/15,379761.59,,,,,,
2016/5/16,336932.46,,,,,,
2016/5/17,370907.29,,,,,,
2016/5/18,1250596.5,,,,,,
2016/5/19,1575085.4,,,,,,
2016/5/20,1230281.39,,,,,,
2016/5/21,1504528.15,,,,,,
2016/5/22,1291330.2,,,,,,
2016/5/23,942140.79,,,,,,
2016/5/24,813861.96,,,,,,
2016/5/25,636575.84,,,,,,
2016/5/26,570982.98,,,,,,
2016/5/27,452794.22,,,,,,
2016/5/28,362278.04,,,,,,
2016/5/29,435423.97,,,,,,
2016/5/30,709095.03,,,,,,
2016/5/31,1210964.4,,,,,,
2016/6/1,1653025.99,,,,,,
2016/6/2,1382799,,,,,,
2016/6/3,1254874.93,,,,,,
2016/6/4,1405017.69,,,,,,
2016/6/5,1397986.31,,,,,,
2016/6/6,948856.43,,,,,,
2016/6/7,674540.09,,,,,,
2016/6/8,682882.13,,,,,,
2016/6/9,655897.76,,,,,,
2016/6/10,701747.02,,,,,,
2016/6/11,721475.58,,,,,,
2016/6/12,599177.26,,,,,,
2016/6/13,488646.27,,,,,,
2016/6/14,611557.47,,,,,,
2016/6/15,1595359.78,,,,,,
2016/6/16,1900825.29,,,,,,
2016/6/17,1296888.33,,,,,,
2016/6/18,1316330.69,,,,,,
2016/6/19,1157573.75,,,,,,
2016/6/20,889352.19,,,,,,
2016/6/21,611958.6,,,,,,
2016/6/22,354784.09,,,,,,
2016/6/23,217007.89,,,,,,
2016/6/24,217106.9,,,,,,
2016/6/25,237424.03,,,,,,
2016/6/26,176008.56,,,,,,
2016/6/27,166748.37,,,,,,
2016/6/28,187348.71,,,,,,
2016/6/29,698517.72,,,,,,
2016/6/30,773295.24,,,,,,
2016/7/1,1003128.93,,,,,,
2016/7/2,945613.76,,,,,,
2016/7/3,776024,,,,,,
2016/7/4,652609.31,,,,,,
2016/7/5,607617.17,,,,,,
2016/7/6,627272.3,,,,,,
2016/7/7,310212.59,,,,,,
2016/7/8,246566.64,,,,,,
2016/7/9,220711.63,,,,,,
2016/7/10,931515.14,,,,,,
2016/7/11,1107706.51,,,,,,
2016/7/12,1932542.72,,,,,,
2016/7/13,1846751.96,,,,,,
2016/7/14,1361910.11,,,,,,
2016/7/15,1057611.49,,,,,,
2016/7/16,911722.28,,,,,,
2016/7/17,734628.82,,,,,,
2016/7/18,566158.92,,,,,,
2016/7/19,482111.14,,,,,,
2016/7/20,393048.89,,,,,,
2016/7/21,324849.56,,,,,,
2016/7/22,292095.22,,,,,,
2016/7/23,316810.65,,,,,,
2016/7/24,518781.91,,,,,,
2016/7/25,644924.48,,,,,,
2016/7/26,738730.07,,,,,,
2016/7/27,804641.72,,,,,,
2016/7/28,934692.46,,,,,,
2016/7/29,1609526.65,,,,,,
2016/7/30,2557932.45,,,,,,
2016/7/31,1635760.17,,,,,,
2016/8/1,1837945.01,,,,,,
2016/8/2,1424617.63,,,,,,
2016/8/3,1428806.15,,,,,,
2016/8/4,1351520,,,,,,
2016/8/5,1469803.12,,,,,,
2016/8/6,1689019.24,,,,,,
2016/8/7,1303854.53,,,,,,
2016/8/8,815446.16,,,,,,
2016/8/9,721671.46,,,,,,
2016/8/10,1452246.16,,,,,,
2016/8/11,2374730.04,,,,,,
2016/8/12,2027414.69,,,,,,
2016/8/13,1428098.75,,,,,,
2016/8/14,1727010.9,,,,,,
2016/8/15,1653547.11,,,,,,
2016/8/16,1197058.95,,,,,,
2016/8/17,1088673.37,,,,,,
2016/8/18,1073225.55,,,,,,
2016/8/19,723175.51,,,,,,
2016/8/20,721895.54,,,,,,
2016/8/21,880778.24,,,,,,
2016/8/22,1828687.49,,,,,,
2016/8/23,1582965.6,,,,,,
2016/8/24,1398196.59,,,,,,
2016/8/25,1478318.05,,,,,,
2016/8/26,1272369.23,,,,,,
2016/8/27,1196958.16,,,,,,
2016/8/28,1054285.39,,,,,,
2016/8/29,919070.55,,,,,,
2016/8/30,898269.46,,,,,,
2016/8/31,1010385.21,,,,,,
2016/9/1,1371075.97,,,,,,
2016/9/2,988046.52,,,,,,
2016/9/3,729690.29,,,,,,
2016/9/4,707998.18,,,,,,
2016/9/5,576264.24,,,,,,
2016/9/6,457794.34,,,,,,
2016/9/7,2056207.19,,,,,,
2016/9/8,2268943.06,,,,,,
2016/9/9,2763414.33,,,,,,
2016/9/10,2601037.81,,,,,,
2016/9/11,2103129.35,,,,,,
2016/9/12,1530433.13,,,,,,
2016/9/13,1411046.49,,,,,,
