date,China,Japan,South Korea,United States of America,Germany,France,United Kingdom,Russia,
2017/7/29,114394.46,102776.89,,1382.03,,,,,
2017/7/30,90590.84,76833.32,,866.4,,,,,
2017/7/31,94143.27,99272.12,,869.63,,,,,
2017/8/1,95194.41,152467.94,,1107.27,,,,,
2017/8/2,89383.22,128160.51,,1859.99,,,,,
2017/8/3,69216.8,90078.4,,2118.42,,,,,
2017/8/4,82803.73,117430.17,,2038.03,,,,,
2017/8/5,90198.06,109618.69,,1917.88,,,,,
2017/8/6,79374.95,72717.17,,3440.11,,,,,
2017/8/7,100540.7,44052.52,,2532.89,,,,,
2017/8/8,90600.8,35386.05,,1668.93,,,,,
2017/8/9,85479.43,52036.9,,896,,,,,
2017/8/10,73371.27,67232.71,,1057.19,,,,,
2017/8/11,93068.94,99217.81,,1198.11,,,,,
2017/8/12,114387.95,80275.47,,1483.9,,,,,
2017/8/13,108910.17,59236.92,,1436.02,,,,,
2017/8/14,104633.65,48633.53,,889.51,,,,,
2017/8/15,92239.1,46918.37,,787.62,,,,,
2017/8/16,99669.06,39098.88,,894.4,,,,,
2017/8/17,83431.7,40083.91,,2111.24,,,,,
2017/8/18,127624.04,30859.81,,2285.49,,,,,
2017/8/19,117128.77,24339.4,,3011.03,,,,,
2017/8/20,106514.84,17993.45,,2606.98,,,,,
2017/8/21,118230.9,17564.55,,11053.69,,,,,
2017/8/22,116937.91,22115.29,,4065.24,,,,,
2017/8/23,91064.89,70653.23,,865.77,,,,,
2017/8/24,99541.81,115673.21,,7459.54,,,,,
2017/8/25,402086.23,97861.71,,12773.4,,,,,
2017/8/26,264613.84,91206.47,,6013.6,,,,,
2017/8/27,150494.7,61694.38,,2712.73,,,,,
2017/8/28,125917.21,51331.84,,1986.76,,,,,
2017/8/29,108447.64,94414.58,,800.69,,,,,
2017/8/30,101061.2,89814.81,,1660.21,,,,,
2017/8/31,102568.29,97149.98,,2160.42,,,,,
2017/9/1,182111.93,169074.22,,2280.54,,,,,
2017/9/2,145393.61,131590.05,,1262.53,,,,,
2017/9/3,118789.62,91429.01,,1306.35,,,,,
2017/9/4,106225.16,61906.77,,1353.63,,,,,
2017/9/5,95663.39,60258.13,,1183.57,,,,,
2017/9/6,87734.27,54998.2,,791.35,,,,,
2017/9/7,82337.26,34917.2,,1399.34,,,,,
2017/9/8,121338.75,39464.42,,3175.96,,,,,
2017/9/9,108058.93,43924.62,,1322.58,,,,,
2017/9/10,83459.41,30217.93,,1626.05,,,,,
2017/9/11,84815.55,20751.86,,1143.67,,,,,
2017/9/12,70247.66,22656.77,,1129.78,,,,,
2017/9/13,60757.68,23898.29,,1499.44,,,,,
2017/9/14,52197.57,17869.05,,1019.7,,,,,
2017/9/15,79759.52,33661.94,,2176.54,,,,,
2017/9/16,72405.57,39609.02,,5712.84,,,,,
2017/9/17,67408.31,32153.35,,2392.52,,,,,
2017/9/18,71876.35,23683.43,,1990.45,,,,,
2017/9/19,79713.34,24098.26,,1142.44,,,,,
2017/9/20,56719.91,23816.76,,1212.07,,,,,
2017/9/21,49543.86,19685.19,,2890.01,,,,,
2017/9/22,125306.13,27589.59,,2384.55,,,,,
2017/9/23,131077.82,28198.78,,2386.21,,,,,
2017/9/24,121537.93,20945.43,,1992.39,,,,,
2017/9/25,104567.87,14756.76,,1844.31,,,,,
2017/9/26,84004.61,13856.08,,1517.88,,,,,
2017/9/27,74763.84,25321.4,,1244.45,,,,,
2017/9/28,67585.38,67305.91,,1512.7,,,,,
2017/9/29,175673.93,134230.83,,4278.71,,,,,
2017/9/30,155138.93,105055.07,,2862.84,,,,,
2017/10/1,172699.56,144166.75,,2064.98,,,,,
2017/10/2,128274.4,78429.58,,1834.31,,,,,
2017/10/3,119210.64,57356.08,,2177.16,,,,,
2017/10/4,108326.38,45055.87,,1836.05,,,,,
2017/10/5,114581.3,38782.92,,1942.74,,,,,
2017/10/6,104572.04,45002.88,,2827.08,,,,,
2017/10/7,181609.74,52194.35,,2663.61,,,,,
2017/10/8,150676.05,38118.12,,2001.63,,,,,
2017/10/9,161387.77,34657.9,,2200.33,,,,,
2017/10/10,131113.76,25657.93,,1231.66,,,,,
2017/10/11,149079.04,34526.87,,4988.61,,,,,
2017/10/12,114186.74,29767.56,,47203.18,,,,,
2017/10/13,1354856.17,39468.66,,62115.66,,,,,
2017/10/14,1197827.08,34166.46,8248.86,66142.47,,,,,
2017/10/15,718807.32,21871.78,58125.71,51211.29,,,,,
2017/10/16,409923.08,16909.5,64349.15,24816.16,,,,,
2017/10/17,307954.73,16079.86,89770.47,11847.29,,,,,
2017/10/18,262394.58,21041.63,115682.13,6114.8,,,,,
2017/10/19,200634.45,23884.29,156406.01,5710.42,,,,,
2017/10/20,279150.11,84150.01,195959.09,14255.14,,,,,
2017/10/21,226480.83,93923.75,209264.24,15296.39,,,,,
2017/10/22,190547.98,62821.67,218986.95,9905.31,,,,,
2017/10/23,161497.71,39569.45,181691.65,16272.27,,,,,
2017/10/24,167101.59,31802.85,177764.92,11462.56,,,,,
2017/10/25,153255.81,42008.4,156720.68,16412.92,,,,,
2017/10/26,203806.38,54410.64,119329.39,24347.11,,,,,
2017/10/27,255505.31,72127.45,115910.98,14799.34,,,,,
2017/10/28,167086.33,59417.31,124030.84,11458.69,,,,,
2017/10/29,129995.24,60869.93,106860.28,14933.06,,,,,
2017/10/30,135991.32,46064.31,102081.9,26503.8,,,,,
2017/10/31,124972.2,95811.23,126075.73,34346.79,,,,,
2017/11/1,133601.2,186375.91,141357.72,26605.2,,,,,
2017/11/2,125604.71,93158.72,119279.6,27649.92,,,,,
2017/11/3,171843.08,84652.66,111575.19,20828.26,,,,,
2017/11/4,147534.47,39588,131679.92,8262.33,,,,,
2017/11/5,134752.66,23589.89,115649.21,2740.53,,,,,
2017/11/6,145246.45,18930.59,128527.02,4310.1,,,,,
2017/11/7,122834.76,16047.35,105370.03,4133.06,,,,,
2017/11/8,108960.25,15940.38,110303.86,3147.62,,,,,
2017/11/9,137112.08,14515.47,131543.38,3893.91,,,,,
2017/11/10,347739.1,31172.98,123670.91,5404.15,,,,,
2017/11/11,259248.39,36661.57,113490.13,4127.2,,,,,
2017/11/12,236904.06,22100.35,127340.78,3269.7,,,,,
2017/11/13,210182.71,26126.96,99806.54,5326.14,,,,,
2017/11/14,198989.6,33729.86,74722.31,3042.72,,,,,
2017/11/15,188738.27,82735.45,89534.41,1850.29,,,,,
2017/11/16,161221.35,233054.11,90152.55,3561.96,,,,,
2017/11/17,144934.65,233833.66,77201.57,2110.18,,,,,
2017/11/18,126103.11,225574.97,86438.51,1415.31,,,,,
2017/11/19,109702.48,163853.76,92049.61,851.43,,,,,
2017/11/20,102298.3,104600.1,89224.24,,,,,,
2017/11/21,99043.24,97444.08,84994.47,,,,,,
2017/11/22,96130.28,62490.98,71589.38,,,,,,
2017/11/23,149590.46,64847.09,61001.4,,,,,,
2017/11/24,1295743.36,113533.46,61782.7,,,,,,
2017/11/25,959528.58,73929.75,57548.52,,,,,,
2017/11/26,652015.61,53670.64,61380.21,,,,,,
2017/11/27,770100.42,42644.7,68252.88,,,,,,
2017/11/28,580749.69,53061.41,58850.48,,,,,,
2017/11/29,360672.59,55089.74,47389.41,,,,,,
2017/11/30,331454.79,59356,76254.66,,,,,,
2017/12/1,532958.62,145180.75,83022.8,,,,,,
2017/12/2,368954.23,109467.63,85664.57,,,,,,
2017/12/3,301510.77,73158.95,74234.52,,,,,,
2017/12/4,228140.27,55820.33,93319.85,,,,,,
2017/12/5,203666.91,46090.73,105382.26,,,,,,
2017/12/6,186095.95,45199.73,151100.49,,,,,,
2017/12/7,297696.71,39833.59,159584.93,,,,,,
2017/12/8,364582.55,63461.94,157406.61,,,,,,
2017/12/9,314026.04,75145.46,179214.5,,,,,,
2017/12/10,243065.15,52422.87,161885.55,,,,,,
2017/12/11,200695.54,37233.26,133322.86,,,,,,
2017/12/12,184739.3,34774.4,141049.18,,,,,,
2017/12/13,133780.58,23456.5,108898.47,,,,,,
2017/12/14,116123.19,26782.68,155328.35,,,,,,
2017/12/15,232458.27,41029.39,170757.25,,,,,,
2017/12/16,184447.03,49430.63,144264.02,,,,,,
2017/12/17,169458.19,41589.62,136376.37,,,,,,
2017/12/18,146776.89,38338.92,139318.29,,,,,,
2017/12/19,133400.22,33783.28,78634.6,,,,,,
2017/12/20,134982.81,32695.74,75476.36,,,,,,
2017/12/21,103171.74,39397.73,62007.31,,,,,,
2017/12/22,399600.5,46064.67,73890.48,,,,,,
2017/12/23,287473,32643.03,67225.79,,,,,,
2017/12/24,244158.07,26445.08,66297.89,,,,,,
2017/12/25,518032.41,34836.68,76935.86,,,,,,
2017/12/26,575088.58,38323.13,49039.19,,,,,,
2017/12/27,336620.43,91925.14,42305.42,,,,,,
2017/12/28,269261.5,131643.25,34522.53,,,,,,
2017/12/29,311766.79,147241.97,54093.84,,,,,,
2017/12/30,333731.84,125031.81,76379.69,,,,,,
2017/12/31,249650.47,116314.43,95115.35,,,,,,
2018/1/1,290912.04,137102.6,135956.28,,,,,,
2018/1/2,224903.35,86212.02,93394.67,,,,,,
2018/1/3,144194.14,72725.91,111526.97,,,,,,
2018/1/4,125099.78,59051,94780.27,,,,,,
2018/1/5,181655.95,74005.69,101780.32,,,,,,
2018/1/6,132677.32,71974.13,110930.75,,,,,,
2018/1/7,85302.9,55129.15,103081.82,,,,,,
2018/1/8,95341.15,48569.01,81411.62,,,,,,
2018/1/9,83634.58,38074.22,72667.68,,,,,,
2018/1/10,87429.72,35616.03,78527.23,,,,,,
2018/1/11,80580.02,26621.02,71019.66,,,,,,
2018/1/12,361442.41,44933.17,80044.42,,,,,,
2018/1/13,339065.16,47599.45,95861.59,,,,,,
2018/1/14,265546.76,45129.58,78256.51,,,,,,
2018/1/15,191161.37,32113.74,69162.63,,,,,,
2018/1/16,139740.9,31070.74,62810.85,,,,,,
2018/1/17,134255.59,24421.12,54454.04,,,,,,
2018/1/18,128861.21,22620.14,61041.39,,,,,,
2018/1/19,268886.65,32816.52,65102.65,,,,,,
2018/1/20,187604.39,29561.63,59533.09,,,,,,
2018/1/21,156441.32,28332.33,48144.47,,,,,,
2018/1/22,146899.47,22377.24,45193.9,,,,,,
2018/1/23,120924.76,28358.67,33253.97,,,,,,
2018/1/24,114229.6,29100.74,35986.56,,,,,,
2018/1/25,119044.68,30108.36,34663.2,,,,,,
2018/1/26,192532.02,33459.43,44357.98,,,,,,
2018/1/27,159181.93,34336.86,49903.58,,,,,,
2018/1/28,118762,34868.17,40492.11,,,,,,
2018/1/29,99363.76,24897.45,43412.45,,,,,,
2018/1/30,104895.43,40551.89,44093.1,,,,,,
2018/1/31,119042.75,62379.53,125851.5,,,,,,
2018/2/1,116901.18,118688.06,227818.94,,,,,,
2018/2/2,144594.1,76879.79,223259.19,,,,,,
2018/2/3,146744.21,74224.49,206708.48,,,,,,
2018/2/4,109565.12,64767.11,185518.19,,,,,,
2018/2/5,90525.13,46026.04,127473.31,,,,,,
2018/2/6,96031.3,32719.8,104808.43,,,,,,
2018/2/7,103140.52,55718.33,71418.7,,,,,,
2018/2/8,146228.66,80421.1,86538.96,,,,,,
2018/2/9,729955.77,94398.41,134503.19,,,,,,
2018/2/10,644005.14,70621.85,130418.73,,,,,,
2018/2/11,460267.29,70332.09,101086.36,,,,,,
2018/2/12,423507.02,52450.61,94392.56,,,,,,
2018/2/13,298846.15,51771.13,87829.71,,,,,,
2018/2/14,306555.03,85426.71,109832.53,,,,,,
2018/2/15,599513.35,77409.34,102489.76,,,,,,
2018/2/16,472422.32,58692.45,116396.92,,,,,,
2018/2/17,837750.84,78568.94,110502.43,,,,,,
2018/2/18,561616.07,70932.02,98251.91,,,,,,
2018/2/19,407732.01,48196.17,70637.48,,,,,,
2018/2/20,385222.58,42214.1,53704.35,,,,,,
2018/2/21,459847.25,61215.92,45281.57,,,,,,
2018/2/22,388483.72,57435.89,33630.43,,,,,,
2018/2/23,233279.89,76756.08,31142.42,,,,,,
2018/2/24,163087.45,76061.4,19031.99,,,,,,
2018/2/25,126400.34,56032.44,19504.17,,,,,,
2018/2/26,104978.52,42726.63,18779.88,,,,,,
2018/2/27,76875.81,32602.61,16897.16,,,,,,
2018/2/28,72860.42,39565.81,35585.2,,,,,,
2018/3/1,95332.82,66230.15,45760.56,,,,,,
2018/3/2,208421.97,44380.62,48179.09,,,,,,
2018/3/3,184681.29,43524.92,51491.88,,,,,,
2018/3/4,151916.46,35726.68,40988.62,,,,,,
2018/3/5,112312.12,19416.01,45027.47,,,,,,
2018/3/6,112487.94,17242.52,35278.61,,,,,,
